Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 19:44:02,4,1,7.0,8.5,7.0,3,3.0,3.0,2.5,3,5.5,1.5,5.5,2,0
10/24/2024 19:44:21,4,0,7.0,7.5,5.5,3,3.0,5.0,2.5,3,7.0,7.0,7.0,1,1
10/24/2024 19:45:11,3,1,5.5,7.5,5.5,2,3.0,5.0,4.5,2,1.5,3.5,5.5,2,0
10/24/2024 19:46:57,4,1,5.5,8.5,3.5,4,3.0,3.0,2.5,2,3.5,1.5,5.5,1,0
10/24/2024 19:48:09,3,0,5.5,8.5,5.5,3,5.0,5.0,4.5,3,5.5,7.0,5.5,2,0
10/24/2024 19:50:06,3,0,7.0,7.5,7.0,3,5.0,5.0,4.5,2,3.5,5.5,3.5,1,1
10/24/2024 19:50:39,3,1,3.5,7.5,5.5,3,5.0,1.0,4.5,4,5.5,5.5,5.5,2,0
10/24/2024 19:53:54,4,0,5.5,8.5,7.0,4,5.0,7.0,7.0,3,5.5,5.5,7.0,2,2
10/24/2024 19:55:34,3,0,5.5,8.5,5.5,2,5.0,3.0,2.5,2,1.5,5.5,3.5,1,0
10/24/2024 19:56:15,3,1,5.5,7.5,3.5,3,5.0,5.0,4.5,2,5.5,5.5,3.5,2,1
10/24/2024 19:56:35,3,1,5.5,8.5,7.0,3,5.0,3.0,4.5,2,3.5,7.0,7.0,2,0
10/24/2024 19:59:55,3,0,5.5,7.5,5.5,2,3.0,3.0,4.5,2,5.5,3.5,3.5,2,0
10/24/2024 20:00:33,4,0,3.5,7.5,5.5,3,3.0,3.0,4.5,3,3.5,3.5,5.5,1,0
10/24/2024 20:01:31,3,0,7.0,7.5,3.5,4,5.0,3.0,4.5,2,5.5,5.5,5.5,2,0
10/24/2024 20:15:00,4,1,7.0,8.5,7.0,4,7.0,5.0,4.5,2,1.5,3.5,3.5,2,0
10/24/2024 20:15:20,4,1,3.5,7.5,7.0,4,0.0,1.0,2.5,2,5.5,3.5,3.5,3,0
10/24/2024 20:16:39,4,0,7.0,7.5,5.5,3,3.0,5.0,2.5,2,5.5,5.5,5.5,2,0
10/24/2024 20:16:59,4,0,7.0,7.5,5.5,3,7.0,5.0,4.5,4,7.0,5.5,5.5,2,0
10/24/2024 20:17:36,4,1,3.5,7.5,5.5,4,7.0,5.0,4.5,3,3.5,1.5,3.5,1,2
10/24/2024 20:18:00,3,0,7.0,7.5,5.5,3,5.0,3.0,4.5,3,1.5,5.5,5.5,1,1
10/24/2024 20:20:46,3,1,5.5,7.5,5.5,4,5.0,7.0,7.0,3,5.5,7.0,5.5,3,1
10/24/2024 20:31:06,4,0,7.0,8.5,7.0,4,5.0,5.0,4.5,1,3.5,3.5,5.5,2,1
10/24/2024 20:31:33,3,1,5.5,7.5,3.5,3,7.0,7.0,4.5,2,5.5,5.5,5.5,3,0
10/24/2024 20:32:06,2,1,5.5,8.5,7.0,3,3.0,7.0,2.5,2,5.5,7.0,5.5,2,1
10/24/2024 20:35:16,4,0,5.5,7.5,5.5,3,5.0,5.0,4.5,3,5.5,3.5,3.5,2,0
10/24/2024 20:36:31,3,0,7.0,7.5,7.0,3,3.0,3.0,0.0,3,5.5,5.5,5.5,2,0
10/24/2024 20:37:39,4,0,5.5,8.5,5.5,3,3.0,5.0,4.5,3,5.5,3.5,5.5,2,1
10/24/2024 20:41:20,4,1,5.5,8.5,7.0,4,5.0,5.0,2.5,3,5.5,5.5,5.5,2,0
10/24/2024 20:44:28,3,1,5.5,8.5,5.5,4,5.0,5.0,2.5,2,7.0,5.5,5.5,2,0
10/24/2024 20:44:47,4,1,7.0,8.5,5.5,3,7.0,7.0,7.0,4,3.5,5.5,7.0,3,0
10/24/2024 20:45:15,3,1,3.5,7.5,5.5,3,5.0,7.0,4.5,3,5.5,5.5,5.5,3,1
10/24/2024 20:46:44,3,0,5.5,7.5,5.5,3,7.0,5.0,4.5,3,7.0,5.5,3.5,2,1
10/24/2024 20:49:24,3,1,5.5,7.5,5.5,3,3.0,7.0,4.5,4,5.5,5.5,3.5,2,1
10/24/2024 23:42:01,4,0,5.5,7.5,5.5,3,5.0,5.0,2.5,3,5.5,5.5,3.5,1,1
10/25/2024 13:58:07,4,0,7.0,7.5,7.0,3,3.0,5.0,4.5,3,1.5,3.5,3.5,1,1
10/25/2024 13:59:02,3,1,7.0,8.5,7.0,4,7.0,7.0,2.5,4,7.0,7.0,1.5,2,1
10/25/2024 14:00:04,4,0,7.0,8.5,7.0,3,7.0,5.0,7.0,4,5.5,5.5,5.5,3,1
10/25/2024 14:00:29,2,0,5.5,8.5,7.0,4,7.0,7.0,7.0,3,7.0,5.5,7.0,2,1
10/25/2024 14:00:46,3,1,7.0,7.5,5.5,3,7.0,7.0,7.0,4,7.0,5.5,7.0,2,1
10/25/2024 14:01:05,3,0,5.5,8.5,5.5,3,7.0,5.0,7.0,4,7.0,7.0,7.0,2,1
10/25/2024 14:01:23,4,0,7.0,8.5,5.5,3,5.0,7.0,4.5,4,5.5,7.0,7.0,3,0
10/25/2024 14:02:34,4,0,7.0,8.5,7.0,3,5.0,5.0,7.0,4,7.0,7.0,3.5,3,1
10/25/2024 14:02:52,4,1,7.0,8.5,5.5,4,5.0,7.0,4.5,4,7.0,5.5,7.0,3,1
